MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
2016270,2021/02/22,11/06/2009,female ,0,Xian,Zhe jiang,US,37.0,2024-03-01,3,7864,19583.19,22180.3,321921,06/21/2023,254,145.705564,75,0,1.297078,354465,7
2038536,2016-01-13,20-Dec-2016,male,3,Nan jing,shang hai,CN ,32.0,2025/08/08,8,20627,19980.41,11473.43,222013,06/20/2024,414,163.46111,368,3,1.427409,184519,9
2060620,05/04/2015,14-Sep-2017,Female,0,Hangzhou,Sichuan,INDIA,36.0,2025-12-06,7,36910,65027.86,6385.77,563976,01-Aug-2024,492,105.819667,124,5,0.845159,227996,7
2044760,26-May-2019,05-Dec-2006,M,1,Chengdu ,Zhejiang,,55.0,22-Feb-2025,3,57431,27443.97,50701.9,143382,2024-07-01,236,145.19548,358,2,0.496577,201157,12
2052712,17-Sep-2016,2024-04-24,,3,Wuhan,Zhe jiang,CN,47.0,13-Apr-2024,4,9022,59552.76,11222.09,94885,2024-03-05,39,66.103494,530,5,0.661839,313334,11
2043963,2016-10-26,24-Jun-2010,Female,1,wuhan,Hubei,India,35.0,2025-09-10,6,49479,35197.23,55523.41,284685,2024-12-31,253,139.313876,438,3,1.440669,382665,7
2013338,20-Nov-2014,2025/11/18,male,0,Hangzhou,Jiangsu,China ,21.0,2025-03-07,6,12637,29896.06,1457.8,215307,2023-05-20,657,45.754142,389,2,1.847087,299604,7
2027768,07/15/2011,08-Jul-2007,Male,0,Wuhan,,United States,44.0,2025-09-07,5,54304,21309.24,60420.23,142013,09-Dec-2024,272,11.113126,419,2,1.686945,376960,11
2034563,12/14/2014,29-Apr-2010,F,2,Hangzhou,shang hai,CN ,51.0,2025/08/17,9,35336,43191.14,17195.21,110224,2025-03-14,156,121.518667,231,5,0.030876,47914,10
2044700,07/11/2021,2008/11/07,Unknown,1,Nan jing,Shaanxi,India,26.0,2024-04-13,7,57554,26847.25,35829.97,149543,2022-10-05,n/a,7.605159,395,2,0.772969,361030,9
2015270,26-Dec-2018,2021-03-24,M,0,Guangzhou,shang hai,CN,53.0,08/26/2025,3,15918,49078.54,83365.99,384448,2025-06-23,64,5.315982,39,5,1.130517,133045,11
2033957,05/26/2016,01/11/2005,female ,0,Chengdu ,Zhe jiang,CN ,24.0,31-Jan-2024,3,71232,36595.6,22427.35,418247,2024-01-18,13,139.693212,290,3,0.822743,335870,8
2028241,12-Jun-2023,09/29/2023,male,2,wuhan,Beijing,India,43.0,06-May-2024,8,76508,18739.46,20075.38,84742,08/16/2023,264,138.384787,329,4,1.158314,490518,10
2022292,2024/08/21,2015-05-26,Female,2,,Beijing,CN ,35.0,24-Feb-2025,3,32734,33246.98,32974.05,91496,2025-01-17,38,0.763137,196,2,1.10367,483421,13
2004531,04/20/2022,28-Jun-2005,Female,0,Hangzhou,Beijing,CN,28.0,2024-10-17,4,32506,7409.69,2934.67,92415,2023-05-27,509,213.773917,116,3,0.460437,347961,6
2020629,11/09/2024,04-Jan-2025,Unknown,3,SHANGHAI,shang hai,China ,38.0,2024-07-07,5,63762,19474.42,12535.57,172573,06/28/2023,375,45.849147,188,2,0.010537,254176,12
2017854,03/15/2021,08/31/2005,Male,0,wuhan,Si chuan,CHN,41.0,01-Oct-2025,4,33282,5847.52,65386.88,285484,2024-09-10,386,133.477893,318,4,0.989566,125515,9
2008994,02/04/2022,2010/10/10,F,0,Wuhan,Jiangsu,China,30.0,30-Jun-2025,8,28754,1018.2,25347.72,384436,05/10/2025,51,200.768507,127,2,1.206679,299756,11
2008515,08/23/2017,2017-10-22,female ,0,Chongqing,Jiangsu,CHN,46.0,10/23/2025,4,42,68460.17,41894.82,140432,2025-10-08,15,14.118922,183,3,1.553826,244186,16
2020163,15-Jul-2020,2015/02/13,Unknown,1,beijing,,China,50.0,2024/04/29,4,23406,5582.56,19862.89,278678,03/01/2024,59,116.531324,32,3,1.268037,236259,7
2000274,14-Jul-2017,12-Feb-2024,Male,3,Chengdu,shang hai,cn,25.0,08/06/2025,4,31527,6394.96,16865.58,100835,2025-02-08,179,86.94209,165,3,1.145242,158058,8
2018495,2011-02-06,05/23/2018,,1,Chongqing,Zhe jiang,CHN,29.0,2025/09/08,6,27746,13594.78,76500.72,25521,09-Jun-2025,91,116.715362,344,3,0.740247,283208,8
2027637,07/18/2021,2012/10/28,male,0,Hangzhou,Shaanxi,China,37.0,20-Mar-2025,7,51935,74009.96,53073.27,395678,16-Dec-2023,460,210.665129,327,1,0.858313,12978,10
2051272,11/25/2019,29-Nov-2023,female ,2,Wuhan,Shaanxi,United States,38.0,2024-10-28,7,7206,2103.83,26768.66,459716,18-May-2023,529,147.674281,281,2,1.317766,3929,10
2054667,29-Jul-2012,05/04/2021,,2,Shenzhen,Guangdong,CHN,47.0,2025/04/26,1,45351,17354.24,4979.55,308386,05/22/2024,339,21.172375,402,6,0.085428,146287,11
2032541,03/27/2020,2017/11/21,Female,1,Chengdu ,Guangdong,US,38.0,09/23/2025,5,18046,107744.62,35025.94,186813,01/06/2025,260,127.566806,257,3,1.122333,101673,8
2052732,2012/05/12,2010/04/11,Unknown,0,,Beijing,China,,01/17/2025,6,38184,42613.68,29383.83,312144,10/10/2024,99,72.586515,443,3,1.083384,76536,16
2053416,12-Jul-2019,21-Mar-2009,M,3,Beijing,Shaanxi,China ,43.0,2024/11/04,8,1633,4710.25,31629.4,158755,01/16/2024,293,256.837777,778,6,1.833136,160663,11
2039263,2010/07/19,02/07/2023,M,2,Shenzhen,Sichuan,CN,51.0,2024-05-23,7,49936,34613.19,32523.89,142506,18-Apr-2024,35,137.676059,427,3,1.085381,459363,8
2014223,2017/03/24,09/24/2011,Unknown,0,wuhan,Shaanxi,China,46.0,2025/01/30,5,8664,8926.99,53709.21,508619,03/22/2023,680,192.349812,650,4,0.550252,38180,13
2004895,2017/02/04,08-Apr-2011,,0,Shanghai,Shanghai,US,39.0,13-Jun-2024,5,39580,7807.56,21778.39,217899,05/05/2023,405,203.61289,191,2,1.624024,273543,14
2006430,13-Feb-2024,2019-03-07,Unknown,1,beijing,Hubei,CN,47.0,05-Jan-2024,6,29690,6482.93,69282.49,397974,07/06/2023,183,78.115215,140,3,1.013659,274704,8
2031723,11/18/2011,20-Jun-2006,F,0,Wuhan,shang hai,China ,60.0,04/08/2025,3,12982,19327.99,43485.36,339116,16-Aug-2024,235,125.786079,94,1,1.19942,41940,4
2001291,2017-04-27,10/25/2005,,0,guangzhou ,Si chuan,CHN,51.0,2024-04-20,6,36785,38335.44,21254.99,216299,2023-10-19,184,137.003558,87,3,1.619798,49555,9
2015102,07-Sep-2017,2025/04/23,female ,0,Shenzhen,Jiangsu,China,49.0,2025/11/27,5,37829,2939.26,37592.4,316926,2024-05-14,562,14.940646,140,1,1.29211,25808,11
2050118,2024/09/22,2007/04/24,male,2,Hangzhou,Guangdong,IN,23.0,2024-09-25,4,42990,81034.4,1028.62,93043,01/27/2023,607,118.505395,90,5,1.743722,138397,10
2027024,02-Apr-2022,2024/04/30,male,0,Chengdu,Si chuan,CN,38.0,11-Aug-2025,5,14274,43504.14,59263.65,299320,13-May-2024,455,224.726969,461,2,0.87054,402719,9
2030879,12/07/2020,04-Aug-2023,Male,3,Hangzhou,shang hai,US,56.0,09/02/2024,3,1455,15091.14,39774.3,154886,11/19/2022,653,53.472902,98,1,1.942645,204066,14
2050914,08/06/2013,20-Jan-2015,F,0,Wuhan,Guang dong,US,69.0,27-Jul-2025,5,28973,10884.14,38182.1,358996,2024-10-31,269,71.32982,253,2,0.863838,560305,14
2056954,2015-06-28,08/03/2015,Female,2,Chongqing,,US,23.0,2024-06-02,5,323,65786.42,43685.82,58803,2023-06-14,354,92.531025,147,6,0.852417,259307,12
2021230,2019-04-09,2013-03-04,Male,1,Chongqing,,United States,34.0,02/16/2024,0,46352,43885.78,6493.21,43877,2023-09-08,161,135.919018,8,3,1.460878,424301,9
2051251,2017/12/06,2019-06-08,Male,2,beijing,,India,44.0,2025/07/05,2,20179,34477.98,2955.42,242932,03-May-2024,428,135.522416,186,3,0.69173,208076,12
2047879,22-Sep-2019,2020/01/29,female ,1,Chongqing,Zhe jiang,CN,48.0,05/29/2024,7,37456,87246.24,20008.14,262566,26-Jul-2023,308,111.760194,215,3,1.292493,229339,6
2058064,30-Aug-2014,2014/09/18,,1,SHANGHAI,bei jing,China,47.0,18-Sep-2024,8,112,3297.25,57589.88,248064,2022-11-13,675,82.35115,476,1,1.227697,31427,10
2005228,2024-11-12,03/07/2020,Unknown,2,Chong qing,,China ,32.0,25-Jul-2024,6,5427,38472.48,26414.98,433570,02/24/2023,517,88.92543,167,1,0.052164,209189,9
2051102,04/29/2020,20-Aug-2007,Male,0,Chong qing,Chongqing,China ,24.0,23-Dec-2025,4,53297,110136.95,37651.77,352434,2025-10-08,76,11.942935,263,4,1.672005,239932,8
2036589,01/09/2016,08/18/2005,female ,3,Hangzhou,Sichuan,China ,23.0,04/10/2025,6,43441,19870.17,38396.95,207809,2024-06-28,286,11.979051,248,5,1.008541,408222,10
2023521,2010-04-11,2007-11-04,male,0,Nanjing,Jiangsu,IN,33.0,2025-12-08,5,4080,53471.34,21603.63,262276,08-Sep-2024,456,152.566189,348,5,0.113757,286685,13
2026151,02-Mar-2010,2013/06/24,male,3,Wuhan,Guangdong,United States,36.0,2025-08-22,1,-56834,92659.47,85226.11,3388,02-Oct-2024,324,195.126411,410,3,1.114331,50370,12
2047027,2014/03/21,2005/06/03,female ,0,Chong qing,,CN,28.0,2025/11/10,7,75936,30649.35,79554.97,329814,12/21/2023,690,15.274877,634,4,0.866633,51569,12
2058545,2019/06/16,2019/04/11,Female,1,Xi'an,Jiangsu,United States,39.0,2024-12-28,2,58963,85828.0,16127.91,259852,16-Feb-2024,316,175.680448,209,2,1.352432,111553,7
2001098,05-Aug-2019,2006/07/11,Female,0,wuhan,Guangdong,CN,33.0,2025-04-14,3,25032,90515.73,5600.22,298928,08/14/2023,609,88.240704,412,0,1.91732,101766,12
2016003,12/23/2016,2008/11/13,,0,Chengdu ,Beijing,United States,32.0,07/25/2025,5,31091,49769.85,805.42,193212,12/06/2024,231,3.321142,242,2,1.328558,283572,8
2006330,07/31/2023,08/13/2019,male,0,XIAN ,Zhejiang,United States,55.0,2024-12-16,4,49786,3314.92,19460.57,142815,25-Mar-2024,266,55.620292,289,8,1.953867,166710,11
2043000,04/14/2015,2023-05-26,male,0,Xian,Jiangsu,US,33.0,2025/08/16,5,44416,85014.68,22335.29,123808,12/21/2023,604,125.896755,516,4,0.09343,14967,14
2004673,04/11/2025,02/12/2005,Unknown,1,,Guang dong,CN ,20.0,16-May-2025,6,32135,297.05,2716.59,181247,07/04/2023,682,13.997998,3,1,0.711672,135936,12
2047764,02/24/2015,2023/07/11,Unknown,0,wuhan,Guangdong,India,23.0,27-Aug-2025,5,44575,64095.42,69750.24,91732,2025-06-13,75,107.699261,163,4,0.463446,509296,4
2011814,09/21/2013,07/25/2005,M,0,guangzhou ,Guangdong,CHN,28.0,2024/06/06,3,47446,56483.05,33747.32,83051,01/03/2023,520,67.574954,448,2,1.722229,226280,12
2023826,01/09/2019,30-Dec-2015,M,2,Chongqing,Jiangsu,cn,44.0,03-Apr-2024,3,5735,36999.47,54294.42,331235,10/13/2023,173,89.732994,175,5,1.076347,154334,12
2020545,2010-07-29,22-Nov-2012,Male,1,beijing,,China Mainland,33.0,15-Mar-2025,4,40707,9646.54,35411.49,261332,02/06/2025,37,28.676091,318,5,1.025397,86239,12
2051468,2015/04/12,21-Apr-2008,M,0,Guangzhou,Zhe jiang,China,,2024/06/06,8,24406,12856.37,44959.28,142093,07/26/2022,681,126.26375,20,1,1.077662,227610,10
2043188,2011-05-26,09/13/2012,male,2,beijing,Sichuan,CN ,47.0,07/28/2025,3,13391,20866.82,16937.3,350542,2025-01-16,193,94.653123,206,2,1.068383,13371,6
2001401,2018-11-15,06/08/2015,female ,0,beijing,Guangdong,IN,30.0,2025/01/23,4,24883,36631.94,60124.78,323177,05/19/2024,249,151.094244,696,2,1.189199,157082,7
2004570,2010/05/03,2010/07/22,Female,2,beijing,Beijing,cn,31.0,2025-12-10,1,59181,46276.94,48722.66,225,07/07/2024,521,103.71022,350,6,1.77574,181532,16
2042873,2021/04/15,2011/01/12,female ,1,Chengdu ,Zhe jiang,CN ,37.0,07-Jan-2025,4,37880,20384.46,40260.29,282617,2023-04-01,647,35.491809,96,0,0.309397,82724,7
2007893,2019-09-08,02/04/2009,F,2,Shenzhen,,CN ,46.0,2025-08-10,0,49587,16844.37,2147.39,435406,01/01/2025,221,60.71279,241,2,0.970008,62908,13
2027515,2018-06-23,2008/12/12,F,0,Nanjing,,India,50.0,2025/11/17,8,48384,24755.17,14821.31,231442,08/29/2024,445,32.923486,391,3,0.009281,17528,9
2036987,11/22/2020,2025-09-02,male,3,wuhan,Beijing,United States,51.0,07-Sep-2025,5,51228,31443.57,33247.2,59061,08/11/2025,27,15.190666,74,4,0.617314,433949,9
2005477,2020-11-29,2022/08/19,Unknown,0,Xian,Zhe jiang,India,28.0,2025-02-24,2,23709,56368.84,12361.24,189284,01/27/2025,28,36.423963,249,7,0.708058,203895,7
2037238,2021/05/20,20-Sep-2008,female ,2,Shenzhen,Jiangsu,US,39.0,2025/11/29,4,21700,24818.02,21000.54,182933,29-May-2024,549,226.326003,35,3,1.280504,222936,10
2037344,02/07/2019,01/13/2021,Female,1,Chong qing,Shaanxi,IN,45.0,10/26/2024,3,11665,53291.38,54000.96,166831,26-Dec-2022,670,126.207071,248,2,1.802506,95513,3
2003841,03-Mar-2011,14-Aug-2007,,1,Shanghai,shang hai,United States,46.0,2025-02-20,4,48244,52319.44,42904.6,152360,30-Dec-2024,52,37.477532,280,3,1.404738,282570,10
2024178,2019-10-25,2021-01-08,F,2,guangzhou ,Shaanxi,CHN,42.0,2025/06/13,8,27169,71249.0,42355.66,177023,2023-11-26,565,55.875518,296,8,1.258389,66084,14
2017568,2012-04-25,24-Sep-2007,,2,Chengdu ,Hubei,China ,39.0,2024-08-17,3,48596,37675.87,38423.93,361718,2023-12-10,251,127.661753,642,1,0.146553,291320,7
2045701,2023/01/19,04-Jan-2013,Female,0,Wuhan,Si chuan,China,,2024/04/04,5,45141,43307.17,83781.2,253669,20-Mar-2023,381,89.41894,355,2,1.357019,237104,11
2008282,2016-09-25,18-Nov-2018,female ,3,Guangzhou,Shaanxi,,29.0,2025/04/12,5,37958,39042.41,25194.52,335857,08/27/2023,594,115.948434,354,2,0.407724,196997,9
2045340,2016/10/04,02/18/2016,F,1,Nanjing,shang hai,cn,48.0,04/03/2025,7,7962,62890.51,25618.83,264170,2024-01-17,442,235.331451,347,5,0.629949,198316,12
2062061,17-Jul-2023,07/26/2006,,1,Chongqing,Hubei,CN ,40.0,10/22/2025,5,2034,52625.8,44746.93,319352,14-Apr-2024,556,75.177742,367,6,1.633838,367423,4
2048274,2012/11/25,14-Feb-2017,F,0,Nan jing,Jiangsu,IN,56.0,2024-04-26,7,32870,99298.12,15661.71,337991,19-Feb-2023,432,117.219925,454,4,0.457931,193031,13
2018989,2011/11/02,12/16/2014,Unknown,0,,Chongqing,cn,41.0,06/14/2025,5,16106,20297.56,8677.32,270440,02-Jan-2024,529,91.489001,36,1,0.789455,54594,13
2000937,2020/02/04,2023/10/05,Female,0,Hangzhou,,cn,28.0,11/23/2024,6,42020,32429.35,42501.47,176290,05/31/2023,542,90.982402,251,1,0.820778,215321,9
2033345,09/13/2018,2010-05-05,,0,Shenzhen,Guang dong,China,36.0,20-Jul-2024,2,48773,24270.52,27879.52,363616,25-Jul-2023,361,117.7393,406,5,1.1963,299081,17
2035769,09-Apr-2023,13-Feb-2013,male,0,Chengdu,Guangdong,CN ,36.0,2024/09/18,5,51398,16275.73,65568.91,447194,07-Nov-2022,681,202.088722,484,3,1.78172,355610,14
2020066,2018/07/16,2017-12-18,Female,0,Xian,Guangdong,China,38.0,02/17/2025,7,43647,29121.51,33413.0,622070,11/03/2023,472,57.829845,388,3,2.466571,329468,10
2030302,2021-08-07,2015-05-10,F,0,Xian,,China ,45.0,2025/09/29,4,12098,42326.46,29072.83,78474,2024-03-24,554,53.161264,309,2,1.672816,225338,15
2020942,2022/12/01,04/08/2014,male,2,Beijing,Si chuan,India,40.0,2024/12/06,3,44908,32151.46,3112.22,8104,2024-12-03,3,63.95886,43,3,0.268595,128619,5
2021166,2016-10-10,2013-01-21,Female,0,Xi'an,,India,,20-Jan-2024,5,29617,31522.34,22653.17,159489,19-Aug-2022,519,22.222858,291,3,1.43229,90236,13
2006528,2018-03-27,2012/10/22,M,2,Shanghai,Hubei,CHN,28.0,02-May-2024,6,24916,5236.51,35436.96,302580,09/03/2023,242,106.337031,297,2,1.573609,169619,12
2047816,2018/01/24,14-Mar-2021,Unknown,0,SHANGHAI,,United States,,18-Jul-2024,-3,7337,23135.3,50044.39,178407,08-Mar-2023,498,59.206336,279,3,1.426621,107857,14
2053710,19-Nov-2013,09/14/2024,F,0,Guangzhou,,United States,,2025/11/07,3,38144,14325.71,21932.73,426745,2024-04-21,565,38.802989,142,2,1.166447,196481,9
2027759,03/24/2019,2006/02/10,female ,2,Nan jing,Chongqing,,25.0,20-Jun-2025,2,19191,76091.58,47360.7,131543,06/19/2025,1,129.385878,223,3,1.685343,143836,11
2031329,2016/04/14,2023/09/27,Female,1,Hangzhou,bei jing,CN ,41.0,11/06/2024,9,28348,68038.83,15339.51,301109,2024-06-08,151,126.784131,342,5,1.246295,278378,8
2015360,2017-08-19,2008-11-12,F,0,Beijing,,United States,43.0,11-Mar-2025,6,12439,58953.52,49465.61,214205,09/07/2024,185,154.774704,386,4,0.525051,263502,11
2062980,2012/02/10,01/01/2018,F,0,Nanjing,shang hai,IN,42.0,18-Jan-2025,6,23166,25335.8,10276.84,222715,2023-09-19,487,170.003836,69,5,0.908318,117073,15
2031126,2011-03-23,2010-04-27,Unknown,1,Wuhan,Sichuan,CHN,39.0,2024/03/12,4,1127,48738.98,13378.71,45793,04/05/2023,342,170.119591,277,2,1.757622,276588,5
2023262,04/01/2017,08-Apr-2021,Female,0,Shenzhen,bei jing,CN ,,24-Sep-2025,4,24330,60351.69,18138.22,1631,2025-07-12,74,57.487891,602,0,1.374241,216807,14
2055711,2016-09-06,2018/12/17,F,1,Beijing,bei jing,China ,47.0,2024-06-20,1,54053,34905.65,8332.08,348501,2023-05-01,416,7.166149,109,1,0.776414,566666,7
2060544,28-Jul-2020,2010-03-27,Male,1,Xi'an,Si chuan,China ,47.0,06/05/2024,7,32850,36461.13,55712.88,293038,27-Jan-2024,130,172.303855,509,2,1.187441,398706,9
2021103,2018-03-15,2021/11/10,female ,0,SHANGHAI,,CN,39.0,07-Sep-2024,5,21784,96154.59,14273.61,366879,16-Dec-2022,631,7.667157,663,1,0.649315,394812,6
2054189,2017-01-21,06/22/2020,Male,0,Chongqing,Chongqing,United States,48.0,08/22/2025,6,36958,21330.33,7731.03,38892,2025-05-21,93,123.389023,189,1,1.500663,223772,9
2061280,2025/04/24,2018/05/25,Male,0,Nanjing,Si chuan,US,25.0,2025/07/24,6,43250,4239.13,15801.61,331737,2023-11-09,623,58.021265,391,1,0.301476,123692,14
2039982,2022-06-19,2007/11/15,Unknown,0,Beijing,Chongqing,United States,52.0,06/22/2025,3,40115,4404.44,31556.64,103736,12-Feb-2025,n/a,80.237605,376,5,0.579329,250469,7
2027407,2021-12-10,2014/01/10,Female,1,Chengdu,Jiangsu,IN,36.0,2025-12-01,2,66490,6249.76,26101.9,323308,01-Apr-2025,244,103.078384,418,2,0.155871,91170,7
2058477,2010/06/03,2018/11/06,M,1,beijing,,China ,38.0,2025/08/21,5,22297,52708.95,47283.28,90891,2025-04-14,129,73.136248,91,0,0.609135,421855,8
2039027,2012-04-11,20-Aug-2023,male,1,Chengdu ,Si chuan,CN ,34.0,27-Jun-2025,6,16305,6067.23,10733.97,162702,15-Jul-2024,347,171.310405,219,1,0.858085,58479,10
2011343,08/18/2012,2017/04/28,M,0,Hangzhou,Beijing,cn,61.0,2025/05/14,5,55746,86863.12,14550.99,76263,12/11/2024,154,156.48547,626,3,0.497268,422613,8
2000475,08/09/2018,07/16/2023,F,1,Chengdu,,India,36.0,08/30/2025,8,17242,87531.77,13834.74,240249,01/31/2025,211,97.898851,36,4,0.746932,273478,8
2006693,15-Apr-2013,2014-11-01,Unknown,1,Chongqing,Zhe jiang,CN,31.0,2025-09-19,5,5924,3316.18,1894.47,42192,17-Jul-2025,64,13.862256,216,2,0.884542,225200,6
2052086,01/31/2020,2008/08/06,female ,0,Xi'an,Beijing,IN,45.0,04/13/2025,4,45269,48331.02,49156.9,132233,29-Sep-2023,562,57.433544,468,4,1.053005,91941,11
2011077,23-Apr-2018,04/04/2006,,0,,Hubei,IN,39.0,04/11/2025,5,4943,42814.25,14348.88,262150,04/30/2024,346,150.195143,308,1,0.809324,98147,9
2057206,2012/06/19,2019/02/09,female ,0,Chong qing,Guang dong,CN ,38.0,20-Apr-2025,4,52267,37125.98,20372.65,51435,2023-10-13,555,95.680813,62,5,0.514287,302714,9
2025370,2019/06/26,2016/06/04,M,2,beijing,Hubei,IN,39.0,2025/03/14,3,16424,89033.81,23761.77,469968,08/15/2023,577,77.007248,400,4,0.731532,96975,10
2013565,2020-06-10,24-Jul-2020,Male,0,Beijing,bei jing,China ,33.0,24-Sep-2025,7,39952,5156.71,23126.57,976,18-Apr-2024,524,193.085202,568,6,0.490324,142713,8
2010724,2015-11-18,2021-04-26,,2,beijing,Jiangsu,CHN,39.0,04-Dec-2025,6,29016,20823.53,64487.41,131407,24-Dec-2024,345,56.90798,182,2,1.519944,187980,11
2029437,08/11/2011,21-Sep-2005,,1,Chong qing,,US,36.0,08/31/2025,5,27341,24656.58,35598.98,71032,07-Jul-2024,420,168.76409,400,4,0.217932,186137,10
