MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight,SUM_YR_1_log,SUM_YR_2_log,AVG_INTERVAL_sqrt,AGE_GROUP,Distance_Group
2030964,2018-01-23,2015-07-03,M,0,Chengdu,Guangdong,China,47,2024-12-28,5,47199,16576,27812,68253,2024-01-22,558,214,361,1,2,311210,7,9.715771471424866,10.233258816275091,14.628738838327793,Middle Age,50k-100k
2012654,2015-07-01,2015-07-03,M,0,Shenzhen,Si Chuan,United States,70,2024-12-28,8,15152,33668,31138,29910,2024-01-22,447,104,389,1,1,162853,16,10.424332811684366,10.34621633183446,10.198039027185569,Senior,20k-50k
2032101,2018-01-23,2015-07-03,M,1,Wuhan,Shanghai,China,49,2025-04-27,7,37760,11504,45614,136166,2024-01-22,127,3,33,2,1,324366,11,9.350537002469466,10.727991888779576,1.7320508075688772,Middle Age,100k-200k
2006937,2018-01-23,2015-07-03,M,0,Nanjing,Si Chuan,United States,26,2024-12-28,3,17088,29421,16282,108863,2024-01-22,376,102,27,3,1,274874,6,10.289497972810157,9.697876897764221,10.099504938362077,Young Adult,100k-200k
2034403,2018-01-23,2015-07-03,F,0,Shenzhen,Guangdong,China,26,2025-05-25,4,54742,49258,39869,228990,2024-01-22,675,136,175,2,1,251921,9,10.804847371021863,10.5933794403754,11.661903789690601,Young Adult,200k+
2001411,2014-06-03,2015-07-03,M,0,Shenzhen,Hubei,China,35,2024-12-28,2,22022,4414,40835,164566,2024-09-02,438,109,390,7,0,127990,11,8.392763113038061,10.617319324288905,10.44030650891055,Adult,100k-200k
2028359,2015-09-08,2015-07-03,M,0,Shenzhen,Guangdong,China,32,2024-12-28,1,72819,82008,20471,137584,2024-01-22,248,29,328,1,2,111047,7,11.314584276321192,9.926813377839625,5.385164807134504,Adult,100k-200k
2039036,2018-01-23,2008-11-20,M,0,Beijing,Beijing,China,70,2024-12-28,8,25560,44366,9834,154220,2024-01-22,137,129,387,2,0,32669,13,10.70025122883488,9.19370273082316,11.357816691600547,Senior,100k-200k
2001004,2018-01-23,2015-07-03,M,1,Hangzhou,Si Chuan,China,40,2025-11-20,9,26745,42203,106432,77266,2024-09-14,432,194,348,3,2,27004,6,10.650270282261983,11.575270958178935,13.92838827718412,Adult,50k-100k
2007364,2018-01-23,2015-07-03,M,2,Nanjing,Beijing,China,46,2024-12-28,5,23412,31587,36891,139330,2024-01-22,310,219,831,0,1,299280,8,10.360532580617472,10.51575000435561,14.798648586948742,Middle Age,100k-200k
2016676,2018-01-23,2015-07-03,M,0,Nanjing,Zhe Jiang,China,30,2024-12-28,3,42940,6055,55122,349239,2024-01-22,686,102,122,3,1,504512,10,8.708804795117285,10.917322330911832,10.099504938362077,Young Adult,200k+
2016270,2021-02-22,2015-07-03,F,0,Xian,Zhe Jiang,United States,37,2024-12-28,3,7864,19583,22180,321921,2024-01-22,254,146,75,0,1,354465,7,9.882468185312053,10.006991345550789,12.083045973594572,Adult,200k+
2038536,2018-01-23,2016-12-20,M,2,Nanjing,Shanghai,China,32,2024-12-28,8,20627,19980,11473,222013,2024-01-22,414,163,368,3,1,184519,9,9.902537101000133,9.347838885161817,12.767145334803704,Adult,200k+
2060620,2018-01-23,2017-09-14,F,0,Hangzhou,Si Chuan,India,36,2024-12-28,7,36910,65028,6386,563976,2024-08-01,492,106,124,5,1,227996,7,11.082588603226894,8.76201995356159,10.295630140987,Adult,
2044760,2018-01-23,2006-12-05,M,1,Chengdu,Zhe Jiang,United States,55,2024-12-28,3,57431,27444,50702,143382,2024-01-22,236,145,358,2,0,201157,12,10.21993928098399,10.833740359426338,12.041594578792296,Middle Age,100k-200k
2052712,2018-01-23,2015-07-03,M,2,Wuhan,Zhe Jiang,China,47,2024-12-28,4,9022,59553,11222,94885,2024-01-22,39,66,530,5,1,313334,11,10.994638742972617,9.325720523016257,8.12403840463596,Middle Age,50k-100k
2043963,2018-01-23,2010-06-24,F,1,Wuhan,Hubei,India,35,2024-12-28,6,49479,35197,55523,284685,2024-01-22,253,139,438,3,1,382665,7,10.468744541790157,10.924570638695,11.789826122551595,Adult,200k+
2013338,2018-01-23,2015-07-03,M,0,Hangzhou,Jiangsu,China,21,2024-12-28,6,12637,29896,1458,215307,2024-01-22,657,46,389,2,2,299604,7,10.30551341989678,7.285506548522786,6.782329983125268,Young Adult,200k+
2027768,2018-01-23,2007-07-08,M,0,Wuhan,Shanghai,United States,44,2024-12-28,5,54304,21309,60420,142013,2024-12-09,272,11,419,2,2,376960,11,9.966931725092662,11.00909200561469,3.3166247903554,Adult,100k-200k
2034563,2018-01-23,2010-04-29,F,2,Hangzhou,Shanghai,China,51,2024-12-28,9,35336,43191,17195,110224,2024-01-22,156,122,231,5,0,47914,10,10.673410571898122,9.752432077616172,11.045361017187261,Middle Age,100k-200k
2044700,2018-01-23,2015-07-03,M,1,Nanjing,Shanghai,India,26,2024-12-28,7,57554,26847,35830,149543,2024-01-22,700,8,395,2,1,361030,9,10.197946609266932,10.486568719482518,2.8284271247461903,Young Adult,100k-200k
2015270,2018-01-23,2015-07-03,M,0,Guangzhou,Shanghai,China,53,2025-08-26,3,15918,49079,83366,384448,2024-01-22,64,5,39,5,1,133045,11,10.801206898824848,11.331007826590247,2.23606797749979,Middle Age,200k+
2033957,2018-01-23,2015-07-03,F,0,Chengdu,Zhe Jiang,China,24,2024-12-28,3,71232,36596,22427,418247,2024-01-22,13,140,290,3,1,335870,8,10.507721548816848,10.018065457243564,11.832159566199232,Young Adult,200k+
2028241,2018-01-23,2015-07-03,M,2,Wuhan,Beijing,India,43,2024-12-28,8,76508,18739,20075,84742,2024-01-22,264,138,329,4,1,490518,10,9.838415555792412,9.907280350774824,11.74734012447073,Adult,50k-100k
2022292,2024-08-21,2015-07-03,F,2,Shenzhen,Beijing,China,35,2024-12-28,3,32734,33247,32974,91496,2024-01-22,38,1,196,2,1,483421,13,10.411749893898953,10.403504977585515,1.0,Adult,50k-100k
2004531,2018-01-23,2005-06-28,F,0,Hangzhou,Beijing,China,28,2024-12-28,4,32506,7410,2935,92415,2024-01-22,509,214,116,3,0,347961,6,8.910720661951359,7.984803389734406,14.628738838327793,Young Adult,50k-100k
2020629,2018-01-23,2025-01-04,M,2,Shanghai,Shanghai,China,38,2024-12-28,5,63762,19474,12536,172573,2024-01-22,375,46,188,2,0,254176,12,9.876886870738948,9.436439551116026,6.782329983125268,Adult,100k-200k
2017854,2018-01-23,2015-07-03,M,0,Wuhan,Si Chuan,China,41,2024-12-28,4,33282,5848,65387,285484,2024-01-22,386,133,318,4,1,125515,9,8.674025985443025,11.088094034371098,11.532562594670797,Adult,200k+
2008994,2018-01-23,2015-07-03,F,0,Wuhan,Jiangsu,China,30,2024-12-28,8,28754,1018,25348,384436,2024-01-22,51,201,127,2,1,299756,11,6.926577033222725,10.140494560509492,14.177446878757825,Young Adult,200k+
2008515,2018-01-23,2015-07-03,F,0,Chong Qing,Jiangsu,China,46,2025-10-23,4,42,68460,41895,140432,2024-01-22,15,14,183,3,2,244186,16,11.134019519047316,10.642945635959324,3.7416573867739413,Middle Age,100k-200k
2020163,2018-01-23,2015-07-03,M,1,Beijing,Shanghai,China,50,2024-12-28,4,23406,5583,19863,278678,2024-01-22,59,117,32,3,1,236259,7,8.627660644442209,9.896664327188002,10.816653826391969,Middle Age,200k+
2000274,2018-01-23,2024-02-12,M,2,Chengdu,Shanghai,China,25,2025-08-06,4,31527,6395,16866,100835,2024-01-22,179,87,165,3,1,158058,8,8.763428073953845,9.733114329258015,9.327379053088816,Young Adult,100k-200k
2018495,2018-01-23,2015-07-03,M,1,Chong Qing,Zhe Jiang,China,29,2024-12-28,6,27746,13595,76501,25521,2025-06-09,91,117,344,3,1,283208,8,9.517530910816006,11.245072163263734,10.816653826391969,Young Adult,20k-50k
2027637,2018-01-23,2015-07-03,M,0,Hangzhou,Shanghai,China,37,2024-12-28,7,51935,74010,53073,395678,2023-12-16,460,211,327,1,1,12978,10,11.21196900978784,10.879442445131593,14.52583904633395,Adult,200k+
2051272,2018-01-23,2023-11-29,F,2,Wuhan,Shanghai,United States,38,2024-12-28,7,7206,2104,26769,459716,2023-05-18,529,148,281,2,1,3929,10,7.652070746116482,10.195037136514399,12.165525060596439,Adult,200k+
2054667,2018-01-23,2015-07-03,M,2,Shenzhen,Guangdong,China,47,2024-12-28,1,45351,17354,4980,308386,2024-01-22,339,21,402,6,0,146287,11,9.761635928295886,8.513385953073284,4.58257569495584,Middle Age,200k+
2032541,2018-01-23,2015-07-03,F,1,Chengdu,Guangdong,United States,38,2025-09-23,5,18046,107745,35026,186813,2024-01-22,260,128,257,3,1,101673,8,11.587531884307083,10.463874471644896,11.313708498984761,Adult,100k-200k
2052732,2012-05-12,2015-07-03,M,0,Shenzhen,Beijing,China,70,2025-01-17,6,38184,42614,29384,312144,2024-01-22,99,73,443,3,1,76536,16,10.659961582956399,10.28823961904675,8.54400374531753,Senior,200k+
2053416,2018-01-23,2009-03-21,M,2,Beijing,Shanghai,China,43,2024-12-28,8,1633,4710,31629,158755,2024-01-22,293,257,778,6,2,160663,11,8.45765547870004,10.361861316299695,16.0312195418814,Adult,100k-200k
2039263,2010-07-19,2015-07-03,M,2,Shenzhen,Si Chuan,China,51,2024-12-28,7,49936,34613,32524,142506,2024-04-18,35,138,427,3,1,459363,8,10.452013503484945,10.389764303380707,11.74734012447073,Middle Age,100k-200k
2014223,2017-03-24,2015-07-03,M,0,Wuhan,Shanghai,China,46,2024-12-28,5,8664,8927,53709,508619,2024-01-22,680,192,650,4,1,38180,13,9.096947684621092,10.891354482899505,13.856406460551018,Middle Age,
2004895,2017-02-04,2011-04-08,M,0,Shanghai,Shanghai,United States,39,2024-12-28,5,39580,7808,21778,217899,2024-01-22,405,204,191,2,2,273543,14,8.963032193662675,9.988701481750608,14.2828568570857,Adult,200k+
2006430,2018-01-23,2015-07-03,M,1,Beijing,Hubei,China,47,2024-12-28,6,29690,6483,69282,397974,2024-01-22,183,78,140,3,1,274704,8,8.777092882855566,11.145954844839205,8.831760866327848,Middle Age,200k+
2031723,2018-01-23,2006-06-20,F,0,Wuhan,Shanghai,China,60,2025-04-08,3,12982,19328,43485,339116,2024-08-16,235,126,94,1,1,41940,4,9.869361837806752,10.680194326195004,11.224972160321824,Middle Age,200k+
2001291,2018-01-23,2015-07-03,M,0,Guangzhou,Si Chuan,China,51,2024-12-28,6,36785,38335,21255,216299,2024-01-22,184,137,87,3,2,49555,9,10.55414468147512,9.96439448743965,11.704699910719626,Middle Age,200k+
2015102,2018-01-23,2015-07-03,F,0,Shenzhen,Jiangsu,China,49,2024-12-28,5,37829,2939,37592,316926,2024-01-22,562,15,140,1,1,25808,11,7.986164860332727,10.534573141833395,3.872983346207417,Middle Age,200k+
2050118,2024-09-22,2015-07-03,M,2,Hangzhou,Guangdong,India,23,2024-12-28,4,42990,81034,1029,93043,2024-01-22,607,119,90,5,2,138397,10,11.30263643909222,6.937314081223682,10.908712114635714,Young Adult,50k-100k
2027024,2018-01-23,2015-07-03,M,0,Chengdu,Si Chuan,China,38,2024-12-28,5,14274,43504,59264,299320,2024-05-13,455,225,461,2,1,402719,9,10.680631153000125,10.9897741915136,15.0,Adult,200k+
2030879,2018-01-23,2023-08-04,M,2,Hangzhou,Shanghai,United States,56,2024-09-02,3,1455,15091,39774,154886,2024-01-22,653,53,98,1,2,204066,14,9.621920081084202,10.590993853205987,7.280109889280518,Middle Age,100k-200k
2050914,2018-01-23,2015-01-20,F,0,Wuhan,Guangdong,United States,69,2024-12-28,5,28973,10884,38182,358996,2024-01-22,269,71,253,2,1,560305,14,9.295140973668648,10.550145669363118,8.426149773176359,Senior,200k+
2056954,2018-01-23,2015-07-03,F,2,Chong Qing,Shanghai,United States,23,2024-12-28,5,323,65786,43686,58803,2024-01-22,354,93,147,6,1,259307,12,11.094177529405146,10.684805853989356,9.643650760992955,Young Adult,50k-100k
2021230,2018-01-23,2015-07-03,M,1,Chong Qing,Shanghai,United States,34,2024-02-16,0,46352,43886,6493,43877,2024-01-22,161,136,8,3,1,424301,9,10.689373427646196,8.77863395266279,11.661903789690601,Adult,20k-50k
2051251,2017-12-06,2015-07-03,M,2,Beijing,Shanghai,India,44,2024-12-28,2,20179,34478,2955,242932,2024-05-03,428,136,186,3,1,208076,12,10.448105722036868,7.991592282068092,11.661903789690601,Adult,200k+
2047879,2018-01-23,2015-07-03,F,1,Chong Qing,Zhe Jiang,China,48,2024-05-29,7,37456,87246,20008,262566,2023-07-26,308,112,215,3,1,229339,6,11.376498455519377,9.903937451316493,10.583005244258363,Middle Age,200k+
2058064,2018-01-23,2015-07-03,M,1,Shanghai,Beijing,China,47,2024-12-28,8,112,3297,57590,248064,2024-01-22,675,82,476,1,1,31427,10,8.101071503119543,10.961121584475679,9.055385138137417,Middle Age,200k+
2005228,2018-01-23,2015-07-03,M,2,Chong Qing,Shanghai,China,32,2024-12-28,6,5427,38472,26415,433570,2024-01-22,517,89,167,1,0,209189,9,10.557711975549612,10.181725166159909,9.433981132056603,Adult,200k+
2051102,2018-01-23,2007-08-20,M,0,Chong Qing,Chongqing,China,24,2024-12-28,4,53297,110137,37652,352434,2024-01-22,76,12,263,4,2,239932,8,11.609489403944501,10.536167911328556,3.4641016151377544,Young Adult,200k+
2036589,2018-01-23,2015-07-03,F,2,Hangzhou,Si Chuan,China,23,2025-04-10,6,43441,19870,38397,207809,2024-01-22,286,12,248,5,1,408222,10,9.897016661405816,10.5557606538861,3.4641016151377544,Young Adult,200k+
2023521,2018-01-23,2015-07-03,M,0,Nanjing,Jiangsu,India,33,2024-12-28,5,4080,53471,21604,262276,2024-09-08,456,153,348,5,0,286685,13,10.88691343139512,9.980680048366034,12.36931687685298,Adult,200k+
2026151,2018-01-23,2015-07-03,M,2,Wuhan,Guangdong,United States,36,2024-12-28,1,56834,92659,85226,3388,2024-10-02,324,195,410,3,1,50370,12,11.43669215897064,11.353073564023212,13.96424004376894,Adult,0-5k
2047027,2014-03-21,2015-07-03,F,0,Chong Qing,Shanghai,China,28,2024-12-28,7,75936,30649,79555,329814,2024-01-22,690,15,634,4,1,51569,12,10.330387941364357,11.284216455183136,3.872983346207417,Young Adult,200k+
2058545,2019-06-16,2015-07-03,F,1,Xian,Jiangsu,United States,39,2024-12-28,2,58963,85828,16128,259852,2024-02-16,316,176,209,2,1,111553,7,11.360112223706492,9.688374172917182,13.2664991614216,Adult,200k+
2001098,2018-01-23,2015-07-03,F,0,Wuhan,Guangdong,China,33,2024-12-28,3,25032,90516,5600,298928,2024-01-22,609,88,412,0,2,101766,12,11.413292957351166,8.630700432209832,9.38083151964686,Adult,200k+
2016003,2018-01-23,2015-07-03,M,0,Chengdu,Beijing,United States,32,2025-07-25,5,31091,49770,805,193212,2024-01-22,231,3,242,2,1,283572,8,10.815187764075905,6.692083742506628,1.7320508075688772,Adult,100k-200k
2006330,2018-01-23,2015-07-03,M,0,Xian,Zhe Jiang,United States,55,2024-12-28,4,49786,3315,19461,142815,2024-03-25,266,56,289,7,2,166710,11,8.106514516255185,9.876219125381935,7.483314773547883,Middle Age,100k-200k
2043000,2018-01-23,2015-07-03,M,0,Xian,Jiangsu,United States,33,2024-12-28,5,44416,85015,22335,123808,2024-01-22,604,126,516,4,0,14967,14,11.350594753052532,10.0139550055621,11.224972160321824,Adult,100k-200k
2004673,2018-01-23,2015-07-03,M,1,Shenzhen,Guangdong,China,20,2024-12-28,6,32135,297,2717,181247,2024-01-22,682,14,3,1,1,135936,12,5.697093486505405,7.907651594711089,3.7416573867739413,Young Adult,100k-200k
2047764,2018-01-23,2015-07-03,M,0,Wuhan,Guangdong,India,23,2024-12-28,5,44575,64095,69750,91732,2024-01-22,75,108,163,4,0,509296,4,11.068137238465544,11.152687036498403,10.392304845413264,Young Adult,50k-100k
2011814,2018-01-23,2015-07-03,M,0,Guangzhou,Guangdong,China,28,2024-12-28,3,47446,56483,33747,83051,2024-01-22,520,68,448,2,2,226280,12,10.941712691189142,10.426676435285517,8.246211251235321,Young Adult,50k-100k
2023826,2018-01-23,2015-12-30,M,2,Chong Qing,Jiangsu,China,44,2024-12-28,3,5735,36999,54294,331235,2024-01-22,173,90,175,5,1,154334,12,10.51867319162636,10.902187420651002,9.486832980505138,Adult,200k+
2020545,2018-01-23,2012-11-22,M,1,Beijing,Shanghai,China,33,2024-12-28,4,40707,9647,35411,261332,2024-01-22,37,29,318,5,1,86239,12,9.174505918966966,10.47480602473094,5.385164807134504,Adult,200k+
2051468,2015-04-12,2008-04-21,M,0,Guangzhou,Zhe Jiang,China,70,2024-12-28,8,24406,12856,44959,142093,2024-01-22,681,126,20,1,1,227610,10,9.46164368908425,10.713528484567572,11.224972160321824,Senior,100k-200k
2043188,2018-01-23,2015-07-03,M,2,Beijing,Si Chuan,China,47,2025-07-28,3,13391,20867,16937,350542,2024-01-22,193,95,206,2,1,13371,6,9.945972164142283,9.737314897481545,9.746794344808963,Middle Age,200k+
2001401,2018-01-23,2015-07-03,F,0,Beijing,Guangdong,India,30,2024-12-28,4,24883,36632,60125,323177,2024-01-22,249,151,696,2,1,157082,7,10.508704752501131,11.004197639286383,12.288205727444508,Young Adult,200k+
2004570,2010-05-03,2015-07-03,F,2,Beijing,Beijing,China,31,2024-12-28,1,59181,46277,48723,225,2024-01-22,521,104,350,6,2,181532,16,10.742421965162054,10.79392700081985,10.198039027185569,Adult,0-5k
2042873,2021-04-15,2015-07-03,F,1,Chengdu,Zhe Jiang,China,37,2024-12-28,4,37880,20384,40260,282617,2024-01-22,647,35,96,0,0,82724,7,9.922554615253354,10.60313853743474,5.916079783099616,Adult,200k+
2007893,2018-01-23,2015-07-03,F,2,Shenzhen,Shanghai,China,46,2024-12-28,0,49587,16844,2147,435406,2024-01-22,221,61,241,2,1,62908,13,9.731809155840653,7.672292455628756,7.810249675906654,Middle Age,200k+
2027515,2018-01-23,2015-07-03,F,0,Nanjing,Shanghai,India,50,2024-12-28,8,48384,24755,14821,231442,2024-01-22,445,33,391,3,0,17528,9,10.116823162859252,9.603867842511304,5.744562646538029,Middle Age,200k+
2036987,2018-01-23,2015-07-03,M,2,Wuhan,Beijing,United States,51,2024-12-28,5,51228,31444,33247,59061,2024-01-22,27,15,74,4,1,433949,9,10.355995266977605,10.411749893898953,3.872983346207417,Middle Age,50k-100k
2005477,2018-01-23,2015-07-03,M,0,Xian,Zhe Jiang,India,28,2024-12-28,2,23709,56369,12361,189284,2024-01-22,28,36,249,7,1,203895,7,10.93969238107562,9.422382530219219,6.0,Young Adult,100k-200k
2037238,2021-05-20,2008-09-20,F,2,Shenzhen,Jiangsu,United States,39,2024-12-28,4,21700,24818,21001,182933,2024-05-29,549,226,35,3,1,222936,10,10.119364767858293,9.95237295026594,15.033296378372908,Adult,100k-200k
2037344,2018-01-23,2015-07-03,F,1,Chong Qing,Shanghai,India,45,2024-10-26,3,11665,53291,54001,166831,2022-12-26,670,126,248,2,2,95513,3,10.883541505080103,10.896776361897594,11.224972160321824,Adult,100k-200k
2003841,2018-01-23,2007-08-14,M,1,Shanghai,Shanghai,United States,46,2024-12-28,4,48244,52319,42905,152360,2024-12-30,52,37,280,3,1,282570,10,10.865133986131081,10.66676695527645,6.082762530298219,Middle Age,100k-200k
2024178,2018-01-23,2015-07-03,F,2,Guangzhou,Shanghai,China,42,2024-12-28,8,27169,71249,42356,177023,2024-01-22,565,56,296,7,1,66084,14,11.173950098130897,10.653888975677635,7.483314773547883,Adult,100k-200k
2017568,2018-01-23,2007-09-24,M,2,Chengdu,Hubei,China,39,2024-12-28,3,48596,37676,38424,361718,2024-01-22,251,128,642,1,0,291320,7,10.536805107686236,10.556463568406796,11.313708498984761,Adult,200k+
2045701,2023-01-19,2013-01-04,F,0,Wuhan,Si Chuan,China,70,2024-12-28,5,45141,43307,83781,253669,2023-03-20,381,89,355,2,1,237104,11,10.67609265443079,11.335973466261928,9.433981132056603,Senior,200k+
2008282,2018-01-23,2018-11-18,F,2,Guangzhou,Shanghai,United States,29,2024-12-28,5,37958,39042,25195,335857,2024-01-22,594,116,354,2,0,196997,9,10.572418881836954,10.13444053074182,10.770329614269007,Young Adult,200k+
2045340,2016-10-04,2015-07-03,F,1,Nanjing,Shanghai,China,48,2025-04-03,7,7962,62891,25619,264170,2024-01-22,442,235,347,5,1,198316,12,11.049174248590166,10.151128575450725,15.329709716755891,Middle Age,200k+
2062061,2018-01-23,2015-07-03,M,1,Chong Qing,Hubei,China,40,2025-10-22,5,2034,52626,44747,319352,2024-04-14,556,75,367,6,2,367423,4,10.870984575013114,10.70880202996682,8.660254037844387,Adult,200k+
2048274,2012-11-25,2017-02-14,F,0,Nanjing,Jiangsu,India,56,2024-12-28,7,32870,99298,15662,337991,2023-02-19,432,117,454,4,0,193031,13,11.505890779489102,9.659056522078663,10.816653826391969,Middle Age,200k+
2018989,2011-11-02,2015-07-03,M,0,Shenzhen,Chongqing,China,41,2025-06-14,5,16106,20298,8677,270440,2024-01-02,529,91,36,1,1,54594,13,9.918326902732767,9.068546366358296,9.539392014169456,Adult,200k+
2000937,2020-02-04,2015-07-03,F,0,Hangzhou,Shanghai,China,28,2024-11-23,6,42020,32429,42501,176290,2024-01-22,542,91,251,1,1,215321,9,10.386839199301363,10.657306412628806,9.539392014169456,Young Adult,100k-200k
2033345,2018-01-23,2015-07-03,M,0,Shenzhen,Guangdong,China,36,2024-12-28,2,48773,24271,27880,363616,2023-07-25,361,118,406,5,1,299081,17,10.097078701588314,10.235700732236957,10.862780491200215,Adult,200k+
2035769,2018-01-23,2013-02-13,M,0,Chengdu,Guangdong,China,36,2024-12-28,5,51398,16276,65569,447194,2022-11-07,681,202,484,3,2,355610,14,9.697508347391498,11.090873553257666,14.212670403551895,Adult,200k+
2020066,2018-07-16,2015-07-03,F,0,Xian,Guangdong,China,38,2025-02-17,7,43647,29122,33413,592644,2024-01-22,472,58,388,3,2,329468,10,10.279283518982245,10.416730252817723,7.615773105863909,Adult,
2030302,2018-01-23,2015-07-03,F,0,Xian,Shanghai,China,45,2024-12-28,4,12098,42326,29073,78474,2024-01-22,554,53,309,2,2,225338,15,10.653180459281268,10.27759958298627,7.280109889280518,Adult,50k-100k
2020942,2022-12-01,2015-07-03,M,2,Beijing,Si Chuan,India,40,2024-12-28,3,44908,32151,3112,8104,2024-01-22,3,64,43,3,0,128619,5,10.378229936129037,8.043342170441608,8.0,Adult,5k-20k
2021166,2018-01-23,2015-07-03,F,0,Xian,Shanghai,India,70,2024-12-28,5,29617,31522,22653,159489,2022-08-19,519,22,291,3,1,90236,13,10.358472717107684,10.02809171576066,4.69041575982343,Senior,100k-200k
2006528,2018-01-23,2015-07-03,M,2,Shanghai,Hubei,China,28,2024-12-28,6,24916,5237,35437,302580,2024-01-22,242,106,297,2,2,169619,12,8.563695025067657,10.475539969718014,10.295630140987,Young Adult,200k+
2047816,2018-01-24,2021-03-14,M,0,Shanghai,Shanghai,United States,70,2024-12-28,3,7337,23135,50044,178407,2023-03-08,498,59,279,3,1,107857,14,10.04914512495849,10.82067787965312,7.681145747868608,Senior,100k-200k
